,연번,업종,사업장명,소재지,시설종류,총시설용량(석유류),총시설용량(유독물),lat,lon
0,1,주유소,정해주유소,인천광역시 남동구 인주대로 696,석유류,580000,,126.714252581033,37.4488364923709
1,2,주유소,인주대로주유소,인천광역시 남동구 인주대로 858,석유류,200000,,126.732628626501,37.4480966034449
2,3,주유소,에이치디현대오일뱅크(주)직영 광장셀프주유소,인천광역시 남동구 남동대로 462,석유류,600000,,126.71017735542,37.4237554369043
3,4,주유소,(주)박문석유구월주유소,인천광역시 남동구 인주대로 512,석유류,199500,,126.693453909494,37.4500893099746
4,5,산업시설,태양합성(주),인천광역시 남동구 남동대로79번길 34,석유류,90000,,126.687808596481,37.3946960216574
5,6,주유소,만수광해주유소,인천광역시 남동구 인주대로 879,석유류,500000,,126.735055615844,37.4485238324354
6,7,주유소,서일석유(주)남동서일주유소,인천광역시 남동구 인주대로 810,석유류,750000,,126.727221725786,37.4483136455548
7,8,산업시설,(주)한온,인천광역시 남동구 앵고개로 610,석유류,33000,,126.705474426291,37.3905809756578
8,9,기타,만수주공5단지관리소,인천광역시 남동구 백범로124번길 127,석유류,222000,,126.73769660261,37.4599114698792
9,10,산업시설,(주)오공,인천광역시 남동구 함박뫼로 341,석유류,569100,,126.702080919985,37.4140045249172
10,11,기타,인천수산업협동조합(소래지점),인천광역시 남동구 포구로 2-9,석유류,320000,,126.740379351497,37.3988934856513
11,12,주유소,서창 I.C 주유소,인천광역시 남동구 백범로 5,석유류,200000,,126.744760832279,37.4500566370926
12,13,산업시설,(주)화인인더스트리,인천광역시 남동구 청능대로 405,석유류,120400,,126.704743920078,37.3992172232872
13,14,주유소,(주)유카스에너지,인천광역시 남동구 장수로 2-2,석유류,105000,,126.749816392176,37.4495515278761
14,15,주유소,신향주유소,인천광역시 남동구 인주대로 759,석유류,195000,,126.721504540188,37.4492723228839
15,16,주유소,에이치디현대오일뱅크(주)직영 수인주유소,인천광역시 남동구 백범로 255,석유류,160000,,126.720823763719,37.4605801067242
16,17,주유소,에이치디현대오일뱅크(주)직영 만수동셀프주유소,인천광역시 남동구 구월로 371,석유류,180000,,126.73199640945,37.4552964111788
17,18,기타,(주)한국씨티은행,인천광역시 남동구 인주대로 585,석유류,28000,,126.701983543287,37.4510261020674
18,19,산업시설,대웅켐,인천광역시 남동구 앵고개로 367,석유류,102900,,126.682655895132,37.4021174158452
19,20,산업시설,삼신화성공업(주),인천광역시 남동구 남동서로316번길 54,석유류,71500,,126.701995411399,37.4149164078874
20,21,주유소,서일석유(주) 수정주유소,인천광역시 남동구 남동대로 559,석유류,240000,,126.707723267872,37.4322849711319
21,22,주유소,고미에너지딜리버리(주)인천지점,인천광역시 남동구 백범로 471,석유류,160000,,126.698590150627,37.4684833758716
22,23,주유소,KH에너지(주)문광주유소,인천광역시 남동구 백범로 423,석유류,196000,,126.70420938283,37.4673540162003
23,24,산업시설,신화석유,인천광역시 남동구 앵고개로697번길 40-22,석유류,30000,,126.716218852721,37.3908850326422
24,25,산업시설,(주)글로리케미칼,인천광역시 남동구 능허대로649번길 153,석유류,35000,,126.688866802337,37.3964611129567
25,26,산업시설,(주)덕성,인천광역시 남동구 남동서로 348,석유류,139000,,126.70222119896,37.4193158249591
26,27,주유소,KH에너지(주)직영 수림공원주유소,인천광역시 남동구 주안로 270,석유류,168400,,126.699882581645,37.4628780700615
27,28,주유소,현대주유소,인천광역시 남동구 백범로 85,석유류,140000,,126.736461497391,37.4524818741483
28,29,주유소,현대오일뱅크 고잔주유소,인천광역시 남동구 논현고잔로 156,석유류,800000,,126.715590502739,37.3964834489281
29,30,주유소,에이치디현대오일뱅크(주)직영 공단2주유소,인천광역시 남동구 앵고개로 463,석유류,240000,,126.691735707978,37.3978533120108
30,31,주유소,에이치디현대오일뱅크(주)직영 공단1주유소,인천광역시 남동구 남동대로 367,석유류,160000,,126.705646335938,37.4161526477687
31,32,주유소,남동하이웨이주유소,인천광역시 남동구 인주대로 709,석유류,210000,,126.716176253874,37.4495598641141
32,33,주유소,보문주유소,인천광역시 남동구 경인로 558,석유류,206000,,126.700732476904,37.4625949661282
33,34,주유소,(주)중앙에너비스 남동공단지점,인천광역시 남동구 남동대로 258,석유류,220000,,126.700261426448,37.407383311184
34,35,주유소,신화상사(주) 주원고개주유소,인천광역시 남동구 주안로 264,석유류,250000,,126.699221182661,37.4628883718965
35,36,주유소,농장주유소,인천광역시 남동구 만월로 22,석유류,180000,,126.721053309626,37.4680694733125
36,37,주유소,지에스칼텍스(주)오일주유소,인천광역시 남동구 호구포로 806,석유류,240000,,,
37,38,주유소,한사랑주유소,인천광역시 남동구 인주대로 774,석유류,39000,,126.723212001416,37.4486111174486
38,39,산업시설,영화물산(주),인천광역시 남동구 앵고개로 379,석유류,112200,,126.683557138064,37.401991075876
39,40,군부대,육군제7851부대,인천광역시 남동구 장수동 만의골 산4-2,석유류,40000,,,
40,41,산업시설,태양합성(주) 제2공장,인천광역시 남동구 남동대로79번길 19,석유류,130300,,126.687928372288,37.3940528302488
41,42,산업시설,신화상사(주),인천광역시 남동구 앵고개로697번길 40-16,석유류,720000,,,
42,43,산업시설,(주)오공2공장,인천광역시 남동구 은청로 67,석유류,461420,,126.703148083899,37.4038052657739
43,44,산업시설,(주)두봉,인천광역시 남동구 청능대로289번길 22,석유류,244100,,126.693574916382,37.4039146445196
44,45,산업시설,(주)삼표산업 송도공장,인천광역시 남동구 고잔동 80-3,석유류,30000,,126.721187116526,37.3992363256838
45,46,주유소,남동농협주유소,인천광역시 남동구 소래로 446,석유류,500000,,126.734125875319,37.4300288161863
46,47,주유소,GS칼텍스수산주유소,인천광역시 남동구 호구포로 622,석유류,300000,,126.718274078902,37.4377862255412
47,48,주유소,동윤주유소,인천광역시 남동구 논현고잔로 141,석유류,250000,,126.713901379771,37.3957046779526
48,49,산업시설,성진레미콘 주식회사,인천광역시 남동구 논현고잔로147번길 8,석유류,22000,,126.714418194881,37.3963796192043
49,50,산업시설,서울향료(주),인천광역시 남동구 남동서로114번길 15,석유류,20000,,126.688589666826,37.400636422136
50,51,주유소,SK에너지(주) 논현제일주유소,인천광역시 남동구 청능대로 460,석유류,800000,,126.710417362962,37.3984190758578
51,52,주유소,수림주유소,인천광역시 남동구 수현로 117,석유류,435000,,126.739163930769,37.4632017806921
52,53,산업시설,(주)현대에코텍,인천광역시 남동구 남동대로262번길 30-43,석유류,50000,,126.701251693384,37.4052693280969
53,54,주유소,지에스칼텍스(주)메트로다솜주유소,인천광역시 남동구 논고개로 253,석유류,200000,,126.725509247078,37.4129193824095
54,55,주유소,㈜태평석유직영 동성제2주유소,인천광역시 남동구 논현고잔로 114,석유류,550000,,126.713552419787,37.3933600117242
55,56,주유소,지에스칼텍스(주)논현신도시주유소,인천광역시 남동구 청능대로 469,석유류,240000,,126.711326265095,37.3992461807886
56,57,주유소,디와이에너지㈜ 도림주유소,인천광역시 남동구 논고개로 252,석유류,350000,,126.726205763223,37.4130392108618
57,58,주유소,지에스칼텍스(주)청능대로주유소,인천광역시 남동구 청능대로 542,석유류,200000,,126.71979769472,37.3996777841035
58,59,산업시설,㈜장원(인천공장지점),인천광역시 남동구 남동대로 262번길 30-37,석유류,30000,,126.701171180282,37.4055207787793
59,60,산업시설,유진기업㈜송도,인천광역시 남동구 에코중앙로 11,석유류,50000,,126.71243274854,37.3864373708594
60,61,산업시설,오성화학공업㈜,인천광역시 남동구 청능대로 387,석유류,172500,,126.702148512013,37.3996424819297
61,62,산업시설,㈜나라삼양감속기,인천광역시 남동구 은봉로 44,석유류,20066,,126.695550328382,37.4110298520908
62,63,산업시설,한국바이켐㈜,인천광역시 남동구 함박뫼로 317,석유류,95640,,126.699815647409,37.4147629465596
63,64,산업시설,신영산업사,인천광역시 남동구 능허대로 653,석유류+유독물,420000,14.4,126.684903058833,37.3903115252804
64,65,산업시설,㈜제일하이텍,인천광역시 남동구 남동동로197번길 10,석유류,61900,,126.701789890736,37.4022467815611
65,66,기 타,인천광역시청,인천광역시 남동구 정각로29,석유류,20000,,126.705255744089,37.4560499608337
66,67,산업시설,대봉엘에스㈜,인천광역시 남동구 능허대로649번길 123,유독물,69000,,126.687707509813,37.3957064272885
67,68,주유소,에스제이에너지,인천광역시 남동구 아암대로 1171,석유류,500000,,126.698053690081,37.3856269237584
68,69,주유소,동일석유(주) 남동클린주유소,인천광역시 남동구 호구포로 78,석유류,1040000,,126.702447105838,37.391047333196
69,70,산업시설,롯데정밀화학㈜인천공장,인천광역시 남동구 남동대로 79번길 47,석유류,47000,,126.68650161735,37.395001793401
70,71,산업시설,㈜대한솔루션,인천광역시 남동구 남동대로369번길 30,석유류,80000,,126.70411672565,37.4177263276448
71,72,주유소,구월아시아드주유소,인천광역시 남동구 호구포로 725,석유류,400000,,126.71810440313,37.4471726546002
72,73,주유소,㈜장원오일남동지점좋은주유소,인천광역시 남동구 앵고개로 676,석유류,800000,,126.712527116716,37.3890186629797
73,74,산업시설,이풍화학㈜,인천광역시 남동구 남동대로 79번길 100,석유류,46000,,126.684982134136,37.3964843455062
74,75,산업시설,주식회사 갑원루브,인천광역시 남동구 음실로 65,석유류,827200,,126.767352441937,37.4376561365786
75,76,산업시설,㈜지디케이화장품,인천광역시 남동구 은봉로 100,석유류,41600,,126.701828320116,37.4081108798472
76,77,주유소,선수촌주유소,인천광역시 남동구 매소홀로 810,석유류,900000,,126.712464453301,37.4385136789786
77,78,주유소,논현주유소,인천광역시 남동구 소래로 233,석유류,590000,,126.738346310557,37.4113176485911
78,79,주유소,동일석유(주)행복드림 주유소,인천광역시 남동구 서창방산로 112,석유류,500000,,126.756652935622,37.4246960247922
79,80,주유소,삼미상사(주) 서창셀프주유소,인천광역시 남동구 서창방산로 165,석유류,250000,,126.760394776687,37.428146447647
80,81,산업시설,(주)삼기레미콘,인천광역시 남동구 남동대로 262번길 40,석유류,50000,,126.702042465619,37.4067157442928
81,82,주유소,도림주유소,인천광역시 남동구 비류대로 811,석유류,250000,,126.725409700698,37.422055273319
